time,ehux,bacteria,sytox+,dmsp,d7_present,exp
9,2977216.7510223398,4756479.8274293039,,,1,1
9,2917503.6335854549,4365618.9001817331,,,1,1
10,3310899.227430962,7382627.1329047885,,,1,1
10,3393169.1031811936,7774733.1259981496,,,1,1
10,3358986.8817199161,6755663.4304207126,,,1,1
11,2929947.7340210471,9737421.9919594936,,,1,1
11,3121275.4952332801,8360680.5674761431,,,1,1
11,2949471.3221065146,10028969.884794179,,,1,1
12,3303329.467914083,15428917.446006862,,,1,1
12,3377673.8173214914,18156076.070689917,,,1,1
12,3239964.0491699269,16549636.80387409,,,1,1
13,2362270.0592033705,27227366.081950098,,,1,1
13,2098513.8142323606,34304776.345716462,,,1,1
13,2166304.4353461484,28114874.072578613,,,1,1
14,971688.67131840426,41109914.518408827,,,1,1
14,793107.78266740369,41989098.983917631,,,1,1
14,733724.05182857916,41135243.350549281,,,1,1
15,598950.49358299049,48443793.851900466,,,1,1
15,509021.08014709444,51563792.929462813,,,1,1
15,456185.53320710431,53805761.925572313,,,1,1
16,569635.67031163746,56205597.416576967,,,1,1
16,483618.41731893056,55909893.250399254,,,1,1
16,410488.34237812541,54116737.793608658,,,1,1
17,331461.97717558639,53538616.690478191,,,1,1
17,259686.96170512552,55818460.140965901,,,1,1
17,223024.06140954458,57764031.53418164,,,1,1
0,380377.12864502706,108196.14914780992,,,0,2
0,329708.85625730391,87425.324202243923,,,0,2
0,352304.76190476189,44302.239724341627,,,0,2
2,568100.99573257461,65254.826138183133,,,0,2
2,535289.63414634159,52785.923753665687,,,0,2
2,549711.90699799475,14063.461369429548,,,0,2
4,1463162.4299870746,282236.72605397773,,,0,2
4,1574267.968056788,265478.99746747012,,,0,2
4,1533850.6009432524,163181.43357911278,,,0,2
5,2452389.3984695687,363901.44335909019,,,0,2
5,2400030.3935970818,409986.85939553217,,,0,2
5,2350148.142520702,377347.29597436881,,,0,2
6,,167817.49847041341,,,0,2
6,2631878.9905746426,207776.96258253849,,,0,2
6,2595843.483556638,143214.76392850906,,,0,2
7,3330275.9267235915,158511.16916664218,,,0,2
7,3422523.4355206485,37990.312470320066,,,0,2
7,,126471.73958866572,,,0,2
8,,244691.07751463779,,,0,2
8,,141421.87914321912,,,0,2
8,,247854.54545454541,,,0,2
9,3330010.6528686658,627578.59259689692,,,0,2
9,3867382.8768338109,604613.23392357875,,,0,2
9,4047055.5372152673,530312.01803298143,,,0,2
10,3317558.4902790808,325953.61878614401,,,0,2
10,3546083.4748232439,347307.48991405021,,,0,2
10,3818002.2287508864,42633.822832780665,,,0,2
11,2820858.0556823374,88550.42946958293,,,0,2
11,,485673.22638355277,,,0,2
11,3011247.6250791638,340415.25832930952,,,0,2
12,,1767520.0788657253,,,0,2
12,2160936.4311231598,732600.73260073247,,,0,2
12,1951996.9570178778,1339612.7681841969,,,0,2
13,2518686.4975802572,2012534.8189415045,,,0,2
13,2735215.9047739655,1831742.0702864272,,,0,2
13,,2474298.6583028403,,,0,2
14,3235873.916789135,1645084.9142088802,,,0,2
14,,1174957.6196878473,,,0,2
14,3012466.4267977495,1185357.3503776873,,,0,2
15,2700326.7228933969,1022757.2269572095,,,0,2
15,,2366128.470205599,,,0,2
15,2631229.7406807132,2500000.0000000005,,,0,2
18,2799883.3286833903,2407256.6577509013,,,0,2
18,3307696.207665788,3106999.4763484029,,,0,2
18,3263180.5738619082,2770276.1564596221,,,0,2
19,3140769.8151430739,4578355.5867884755,,,0,2
19,3436501.9011406843,4422467.2038162844,,,0,2
19,3438308.9743914483,4892186.8179834122,,,0,2
20,3612320.9532260112,4193191.7369799241,,,0,2
20,3671485.0882531949,5540827.9197133463,,,0,2
20,3692389.5959032602,4884591.9345004791,,,0,2
21,3547505.6976449736,5908733.9673675932,,,0,2
21,3479261.1548888944,6585728.0111800153,,,0,2
21,2830221.6592780235,7253072.9666114552,,,0,2
22,3086856.3033511485,5561851.6258390732,,,0,2
22,2722240.5271828664,7438592.4162359918,,,0,2
22,2476110.772976263,7702620.3534430228,,,0,2
0,379044.33222523914,3924.3900843743863,,,1,2
0,311120.1443052768,28439.388553146102,,,1,2
0,359637.08447697468,35870.150056794409,,,1,2
2,496211.44927903498,1242743.3705767377,,,1,2
2,551731.14537556842,1260902.6517590589,,,1,2
2,577305.75457606511,1711585.5792789639,,,1,2
4,1531869.5806500684,1312757.0815951454,,,1,2
4,1606305.8035714284,1218681.7983413355,,,1,2
4,1496576.384662203,1642013.129102845,,,1,2
5,2518056.71709876,2048602.0381499866,,,1,2
5,2137277.7468213364,2290196.078431373,,,1,2
5,2588785.0467289723,2617877.1924721492,,,1,2
6,3213747.6220672168,2607255.9328434081,,,1,2
6,3467190.669371197,2739678.0965710287,,,1,2
6,3667291.9941185419,2770758.9091225928,,,1,2
7,3684565.2890048907,1212262.3657166148,,,1,2
7,4165421.720304864,,,,1,2
7,4246055.6638893811,633020.73050345515,,,1,2
8,,6671124.9382141707,,,1,2
8,,10926534.290781174,,,1,2
8,,20668604.651162788,,,1,2
9,4184587.2677429188,17655268.667131893,,,1,2
9,2802736.6020524516,26400837.014647752,,,1,2
9,2643214.0411393214,29942418.426103652,,,1,2
10,2739656.8353723539,,,,1,2
10,2193556.5638386859,30762689.653164037,,,1,2
10,1805445.004943091,34517394.716191478,,,1,2
11,1612975.1647237709,36309267.554831572,,,1,2
11,984991.76067942719,8474773.3085328974,,,1,2
11,678476.39321827714,17810948.163206037,,,1,2
12,120955.47215741962,,,,1,2
12,25487.560548806781,93772486.312679231,,,1,2
12,88855.077976416884,99722181.944726378,,,1,2
13,12391.039935130753,108939033.58663496,,,1,2
13,3420.2325758151555,,,,1,2
13,17176.732873935955,43892092.376343772,,,1,2
14,4787.4765692284309,114439508.75359289,,,1,2
14,2813.616891840511,81081081.081081092,,,1,2
14,4563.2003244942462,69713289.760348573,,,1,2
15,2662.6093571700267,128887469.51573566,,,1,2
15,2659.5744680851071,122295967.25023951,,,1,2
15,4253.9184159218094,110774879.79017922,,,1,2
18,380.23777535552239,94614176.891318232,,,1,2
18,456.01945683015805,96229574.925859168,,,1,2
18,1521.1824658367773,105960672.68872173,,,1,2
19,912.47813854459741,136226294.54302561,,,1,2
19,1139.4712853236099,116179187.72877811,,,1,2
19,2738.6144639415766,146499390.13765463,,,1,2
20,684.20252394708825,124093601.20775749,,,1,2
20,1672.6222154641523,119818873.18220082,,,1,2
20,4259.0949423247557,141561519.69327295,,,1,2
21,304.20564301467789,146853463.27880266,,,1,2
21,1672.1137037318538,146473250.55123591,,,1,2
21,8366.9278162318387,140356426.43253773,,,1,2
22,379.94883355708106,140192391.52547297,,,1,2
22,1444.7936733245463,124223660.15727012,,,1,2
22,13389.800420967209,126541785.07220322,,,1,2
0,121748.9008450314,258477.6597292971,15157.670238155688,2.7899046803157805,0,4
0,131198.46786846904,123489.4592925818,23042.881123149698,2.671217909998532,0,4
0,109125.76017783667,120524.63665366893,17058.002284553884,2.740505501982764,0,4
0,123796.29255510744,95541.401273885349,23674.795097566552,2.9149705116404112,0,4
2,324440.55911160761,66325.343262741459,34268.308160934124,3.002028557458901,0,4
2,294814.99564688234,84673.507188427946,24020.067398079405,3.2197282781687107,0,4
2,281653.73093350959,86558.044806517311,17979.582507999392,3.2112775824533322,0,4
2,318137.11932531849,97950.616564148906,31214.312904453753,3.1964605948915139,0,4
4,580706.20938131423,92965.048717261117,48980.833586857312,3.7184553283542972,0,4
4,508538.24350527115,78845.981542872527,36160.17052375152,3.7393625559632495,0,4
4,525197.0182491946,133893.179082127,38701.338199513375,3.636268737917606,0,4
4,464170.22551431844,240360.54081121687,37352.605553442365,3.5936547271390635,0,4
6,707214.93568203109,164249.51948278878,49276.317457098674,4.0836679913403993,0,4
6,692383.23561053514,126764.28298952436,49097.967572505142,4.0642295012250722,0,4
6,786977.97520971252,147355.49513200592,54409.862263145886,4.1906633798905837,0,4
6,644185.24889447039,307880.69623021083,56688.479683457605,4.2548905885841561,0,4
7,1020246.1932838836,211509.65012778708,55737.704918032781,4.4773517201663529,0,4
7,945181.77042279975,220511.02555127756,46318.831761484638,4.8201531515546954,0,4
7,1093515.1240149629,157205.24017467251,72051.737255896514,4.6659283253252131,0,4
7,1030564.1649543711,168057.4196183696,43577.458361852616,4.7689686543853451,0,4
8,1377265.010870215,143578.36986021537,65144.681497998266,5.1771969624499921,0,4
8,1198947.7408791557,98811.904481825681,51454.195379002842,5.0568617776862128,0,4
8,1485307.707816185,99328.938421970626,57933.55128107655,5.0094940329842617,0,4
8,1181661.4789906708,82343.815263440527,54025.908051816106,5.4352050367457228,0,4
9,1678084.0035437574,251810.25565243093,97807.885522910656,6.4918561440675253,0,4
9,1472986.0510864845,184555.32223240953,65599.55353745466,6.0737117548500503,0,4
9,1255795.8319030805,161573.58623112045,97561.593835546999,6.8217628554090473,0,4
9,1315267.7010561067,245672.13608309501,112217.17158891795,7.650350527986002,0,4
10,2347812.0232434315,285838.779956427,182096.96631776361,7.9776564216198063,0,4
10,2117452.1402956154,293868.98341156234,129349.0673772364,7.2599851894747873,0,4
10,2417447.2622039448,524842.54723582917,154824.46119869009,8.3131424427447893,0,4
10,2039258.3512424417,444105.03436527052,203358.87158151096,10.498000478514911,0,4
11,2723835.7954936707,1063582.4712309658,346513.57311231084,11.918620964368884,0,4
11,2234176.8516817796,823170.73170731706,224611.95089783912,11.165721795706546,0,4
11,2222987.8033267646,613461.08903949533,286615.969581749,14.696589986772743,0,4
11,2396423.511441092,597902.09790209797,380669.71080669714,14.467659634083601,0,4
12,3367838.9678435586,849155.5037856726,931419.74057559774,18.102908273464319,0,4
12,3239249.8606741447,520327.09600442345,871188.5027754542,17.464024301537652,0,4
12,2749246.014648858,629958.0027998134,,21.801401831865483,0,4
12,2795521.8966084952,545820.33414001216,,19.24549473807329,0,4
13,2598646.1614393573,852357.42889713845,1099269.7398448198,28.479174855868759,0,4
13,3229223.5439331261,1085293.8610521418,1017372.1183840127,24.984039527589466,0,4
13,2947017.4851573249,1262607.1791890713,1154039.1242651532,28.793516026612402,0,4
13,2759534.8112849575,1143388.3337206601,1094074.7123523748,28.861856942350268,0,4
14,2998421.3454760602,1445698.9873123039,1291050.642862577,37.258465217658298,0,4
14,2660248.1898442679,1113114.2774062227,1158117.5993306115,37.81658770289328,0,4
14,3061624.8016499886,980004.65008137666,1221297.5414203436,35.259397806522394,0,4
14,2335423.924628986,1080327.5832026487,830099.30084101739,34.351026097136689,0,4
0,112481.90074790563,46130.644350474628,20279.027216589158,2.8325571517614669,1,4
0,120442.84122185726,135143.14504178768,20364.579360842039,2.8113813727713541,1,4
2,238492.47162806164,1706840.7706432717,25590.901012973161,0.39161472246301632,1,4
2,292961.65028263757,1609590.0375338239,36828.995526636849,0.3613693520322741,1,4
4,452825.82650334528,1618213.6602451841,40743.279262813179,0.37821199190234406,1,4
4,437659.95647889585,1636617.4246830291,45215.802694679158,0.35713799430742321,1,4
6,605655.12663155445,1716893.9083621043,64140.237106089786,0.36871980250593339,1,4
6,578680.22552769852,2560400.5355999307,43765.064061905367,0.4046954061740593,1,4
7,768511.78896789928,3178391.5941438419,36660.497426666334,0.28936670701123796,1,4
7,869965.6992508301,3505617.9775280897,55874.143618370974,0.32112736476262738,1,4
8,1160549.414362693,6533651.3291838765,71036.037176792364,0.51395465815224128,1,4
8,1086252.4835579584,6244912.1990929181,127855.15320334262,0.54254616121836718,1,4
